13.41.107.98,14.55.25.132
120.32.10.62,120.32.237.190
201.151.4.218,201.235.5.164
120.251.7.161,120.132.7.161
200.194.40.201,200.35.235.178
204.124.115.115,204.64.9.149
120.177.7.217,120.238.7.170
60.23.202.130,60.238.237.133
122.120.18.229,123.134.29.154
11.49.28.152,10.62.28.139
71.200.134.124,64.62.6.125
124.199.123.102,127.55.5.136
201.32.154.228,201.35.28.155
66.231.120.33,70.31.7.160
122.224.52.16,123.30.237.143
216.5.116.246,208.133.8.150
70.222.44.141,65.33.235.114
64.132.140.51,68.132.9.180
14.120.242.204,13.134.237.179
216.7.24.231,208.134.25.155
66.47.20.205,70.235.28.180
61.131.207.83,61.131.235.172
200.121.157.75,200.134.25.113
123.107.18.104,122.236.236.107
204.54.248.253,204.63.7.133
121.24.142.124,121.30.8.124
12.231.44.243,15.30.236.193
127.35.233.203,124.32.25.177
14.23.106.215,13.239.26.169
61.38.10.242,61.59.237.146
126.211.109.49,125.56.28.194
69.214.240.73,67.235.8.114
128.132.212.39,128.132.235.160
216.87.204.144,208.239.237.147
126.217.234.44,125.55.237.164
217.243.47.24,209.236.235.137
124.200.27.119,127.62.28.136
63.223.211.77,62.34.237.194
216.4.7.158,208.132.7.134
71.199.7.165,64.55.7.106
203.34.20.163,203.33.237.172
125.194.22.64,126.34.26.127
65.63.104.166,69.32.25.170
11.182.111.179,10.238.25.181
64.132.133.78,68.132.5.118
68.110.234.157,66.235.28.196
68.217.205.100,66.62.236.133
202.34.140.194,202.35.8.196
70.222.229.177,65.33.29.114
123.194.234.86,122.35.25.105
217.132.138.78,209.132.8.118
15.247.27.39,12.239.28.171
124.202.134.103,127.61.6.103
16.19.249.28,16.236.6.141
203.50.134.239,203.57.6.143
70.2.117.130,65.130.8.124
217.240.98.28,209.238.29.156
201.32.157.78,201.35.26.182
207.52.117.116,207.60.8.145
61.237.210.130,61.237.236.157
124.202.13.95,127.61.236.161
217.47.225.180,209.58.25.117
123.222.236.233,122.62.235.150
129.46.242.104,129.63.9.128
205.31.101.7,205.30.26.139
61.237.112.125,61.237.9.133
70.72.251.175,65.235.5.175
13.203.120.67,14.236.7.188
68.5.205.156,66.133.236.101
203.243.116.12,203.235.9.193
17.32.154.248,17.35.28.135
16.121.47.46,16.134.235.194
127.50.152.71,124.59.27.187
124.201.213.169,127.63.237.105
129.140.51.169,129.235.237.168
71.73.215.70,64.235.235.184
201.34.133.176,201.33.5.112
129.41.107.146,129.57.29.146
205.33.22.89,205.33.26.105
61.134.7.63,61.134.7.191
207.67.211.77,207.64.236.180
216.223.243.66,208.35.236.189
13.33.8.103,14.62.9.105
13.33.204.186,14.62.235.194
207.52.120.9,207.60.7.150
123.192.104.101,122.32.27.100
12.222.10.241,15.35.237.130
124.6.19.86,127.134.237.106
128.210.229.24,128.237.26.153
10.220.228.134,11.32.28.134
69.60.4.205,67.32.5.180
122.127.13.144,123.130.9.147
201.58.19.186,201.61.237.184
126.211.123.88,125.56.5.107
121.62.235.25,121.63.27.154
202.32.240.76,202.32.235.180
13.16.108.178,14.30.28.177
120.16.230.112,120.31.26.113
125.112.50.227,126.239.236.196
13.35.227.61,14.60.28.188
206.16.100.75,206.30.25.116
126.210.23.22,125.57.235.150
124.73.121.137,127.238.6.118
207.56.43.135,207.55.235.121
64.206.250.72,68.238.5.179
205.244.4.182,205.236.5.178
68.194.99.33,66.34.28.174
125.193.106.184,126.33.25.187
126.213.98.145,125.61.29.110
121.62.246.8,121.63.9.147
14.20.5.205,13.236.5.177
60.127.4.19,60.130.5.148
63.12.155.140,62.236.28.116
205.127.237.43,205.64.236.171
121.129.30.170,121.130.26.168
71.233.134.232,64.30.6.193
126.193.240.126,125.33.235.126
17.130.154.197,17.131.28.186
203.35.117.98,203.32.9.140
62.221.117.47,63.35.9.167
71.222.4.89,64.34.5.162
122.44.154.231,123.236.26.200
63.222.249.24,62.35.6.153
127.55.100.169,124.63.28.160
203.24.236.245,203.31.27.149
10.72.226.91,11.239.28.107
126.238.53.157,125.31.237.192
216.87.31.27,208.239.27.139
68.215.120.138,66.55.7.148
216.194.237.145,208.61.28.102
124.225.14.158,127.31.9.110
122.224.134.157,123.30.6.130
15.60.147.140,12.34.27.149
207.151.239.127,207.238.27.127
127.130.244.224,124.131.8.131
63.14.133.243,62.238.5.145
205.55.29.182,205.56.26.112
126.72.14.245,125.238.8.149
122.122.135.3,123.133.7.156
62.224.249.175,63.31.6.111
124.72.156.135,127.239.28.135
14.120.99.131,13.134.25.125
201.146.11.64,201.237.236.191
121.63.123.65,121.62.5.190
63.122.45.92,62.133.237.172
17.63.99.170,17.58.29.162
124.6.156.172,127.134.25.172
126.215.5.141,125.63.5.116
68.106.11.52,66.237.236.181
66.41.27.100,70.239.27.100
70.72.241.170,65.235.9.160
125.217.98.66,126.62.25.124
71.6.20.196,64.134.237.187
121.212.20.65,121.236.29.190
217.67.97.184,209.64.25.120
16.17.108.250,16.238.29.132
201.254.224.88,201.131.27.168
71.5.7.160,64.133.7.175
129.46.248.120,129.63.7.129
123.219.245.213,122.59.237.170
128.133.123.153,128.133.5.192
216.197.237.32,208.58.237.160
122.122.134.180,123.133.6.179
12.223.134.68,15.34.6.123
205.35.97.167,205.34.26.103
201.62.237.168,201.57.29.168
123.220.53.73,122.60.237.114
68.1.207.150,66.131.235.137
64.62.235.6,68.35.29.154
14.222.133.165,13.33.5.101
207.52.236.199,207.60.236.184
10.222.19.74,11.34.27.177
126.5.104.13,125.133.27.141
125.1.109.178,126.130.29.114
70.199.120.13,65.55.7.193
60.22.240.86,60.239.9.105
124.206.16.142,127.57.235.134
66.216.19.117,70.56.236.130
120.54.51.120,120.55.237.153
202.64.149.185,202.64.26.122
11.127.47.105,10.64.235.102
202.31.6.182,202.30.6.182
206.36.156.92,206.56.25.109
71.77.26.208,64.237.26.175
63.126.133.111,62.130.5.111
12.223.149.183,15.34.26.113
10.205.5.154,11.61.5.101
120.62.231.145,120.57.25.150
11.35.245.187,10.34.8.123
128.62.51.83,128.35.235.173
123.222.122.122,122.62.5.138
65.34.132.189,69.61.5.188
61.40.226.165,61.55.28.193
205.32.215.138,205.32.235.132
217.240.242.128,209.238.236.135
16.224.235.240,16.31.25.128
124.224.236.127,127.30.28.127
15.132.108.154,12.132.25.129
69.61.106.12,67.33.29.197
205.48.226.77,205.63.29.112
127.51.108.177,124.58.25.182
128.42.133.90,128.61.5.165
69.63.245.73,67.34.8.182
127.64.19.240,124.64.235.131
66.217.213.79,70.57.237.115
65.41.5.176,69.55.5.177
60.192.10.186,60.32.8.186
15.246.106.112,12.238.26.115
127.203.42.242,124.236.237.140
121.58.10.71,121.59.236.121
69.132.234.154,67.132.25.105
15.63.237.159,12.32.237.143
60.193.240.67,60.33.235.189
66.221.239.113,70.61.235.114
11.182.115.199,10.238.9.185
17.208.53.246,17.239.237.150
63.225.150.203,62.30.25.195
126.213.102.239,125.61.26.151
128.210.227.226,128.237.29.197
128.211.147.182,128.236.28.118
126.209.106.137,125.59.26.193
124.203.40.129,127.60.235.126
10.239.101.12,11.30.26.141
11.52.45.37,10.58.237.197
