14.55.25.132,13.41.107.98
120.32.237.190,120.32.10.62
201.235.5.164,201.151.4.218
120.132.7.161,120.251.7.161
200.35.235.178,200.194.40.201
204.64.9.149,204.124.115.115
120.238.7.170,120.177.7.217
60.238.237.133,60.23.202.130
123.134.29.154,122.120.18.229
10.62.28.139,11.49.28.152
64.62.6.125,71.200.134.124
127.55.5.136,124.199.123.102
201.35.28.155,201.32.154.228
70.31.7.160,66.231.120.33
123.30.237.143,122.224.52.16
208.133.8.150,216.5.116.246
65.33.235.114,70.222.44.141
68.132.9.180,64.132.140.51
13.134.237.179,14.120.242.204
208.134.25.155,216.7.24.231
70.235.28.180,66.47.20.205
61.131.235.172,61.131.207.83
200.134.25.113,200.121.157.75
122.236.236.107,123.107.18.104
204.63.7.133,204.54.248.253
121.30.8.124,121.24.142.124
15.30.236.193,12.231.44.243
124.32.25.177,127.35.233.203
13.239.26.169,14.23.106.215
61.59.237.146,61.38.10.242
125.56.28.194,126.211.109.49
67.235.8.114,69.214.240.73
128.132.235.160,128.132.212.39
208.239.237.147,216.87.204.144
125.55.237.164,126.217.234.44
209.236.235.137,217.243.47.24
127.62.28.136,124.200.27.119
62.34.237.194,63.223.211.77
208.132.7.134,216.4.7.158
64.55.7.106,71.199.7.165
203.33.237.172,203.34.20.163
126.34.26.127,125.194.22.64
69.32.25.170,65.63.104.166
10.238.25.181,11.182.111.179
68.132.5.118,64.132.133.78
66.235.28.196,68.110.234.157
66.62.236.133,68.217.205.100
202.35.8.196,202.34.140.194
65.33.29.114,70.222.229.177
122.35.25.105,123.194.234.86
209.132.8.118,217.132.138.78
12.239.28.171,15.247.27.39
127.61.6.103,124.202.134.103
16.236.6.141,16.19.249.28
203.57.6.143,203.50.134.239
65.130.8.124,70.2.117.130
209.238.29.156,217.240.98.28
201.35.26.182,201.32.157.78
207.60.8.145,207.52.117.116
61.237.236.157,61.237.210.130
127.61.236.161,124.202.13.95
209.58.25.117,217.47.225.180
122.62.235.150,123.222.236.233
129.63.9.128,129.46.242.104
205.30.26.139,205.31.101.7
61.237.9.133,61.237.112.125
65.235.5.175,70.72.251.175
14.236.7.188,13.203.120.67
66.133.236.101,68.5.205.156
203.235.9.193,203.243.116.12
17.35.28.135,17.32.154.248
16.134.235.194,16.121.47.46
124.59.27.187,127.50.152.71
127.63.237.105,124.201.213.169
129.235.237.168,129.140.51.169
64.235.235.184,71.73.215.70
201.33.5.112,201.34.133.176
129.57.29.146,129.41.107.146
205.33.26.105,205.33.22.89
61.134.7.191,61.134.7.63
207.64.236.180,207.67.211.77
208.35.236.189,216.223.243.66
14.62.9.105,13.33.8.103
14.62.235.194,13.33.204.186
207.60.7.150,207.52.120.9
122.32.27.100,123.192.104.101
15.35.237.130,12.222.10.241
127.134.237.106,124.6.19.86
128.237.26.153,128.210.229.24
11.32.28.134,10.220.228.134
67.32.5.180,69.60.4.205
123.130.9.147,122.127.13.144
201.61.237.184,201.58.19.186
125.56.5.107,126.211.123.88
121.63.27.154,121.62.235.25
202.32.235.180,202.32.240.76
14.30.28.177,13.16.108.178
120.31.26.113,120.16.230.112
126.239.236.196,125.112.50.227
14.60.28.188,13.35.227.61
206.30.25.116,206.16.100.75
125.57.235.150,126.210.23.22
127.238.6.118,124.73.121.137
207.55.235.121,207.56.43.135
68.238.5.179,64.206.250.72
205.236.5.178,205.244.4.182
66.34.28.174,68.194.99.33
126.33.25.187,125.193.106.184
125.61.29.110,126.213.98.145
121.63.9.147,121.62.246.8
13.236.5.177,14.20.5.205
60.130.5.148,60.127.4.19
62.236.28.116,63.12.155.140
205.64.236.171,205.127.237.43
121.130.26.168,121.129.30.170
64.30.6.193,71.233.134.232
125.33.235.126,126.193.240.126
17.131.28.186,17.130.154.197
203.32.9.140,203.35.117.98
63.35.9.167,62.221.117.47
64.34.5.162,71.222.4.89
123.236.26.200,122.44.154.231
62.35.6.153,63.222.249.24
124.63.28.160,127.55.100.169
203.31.27.149,203.24.236.245
11.239.28.107,10.72.226.91
125.31.237.192,126.238.53.157
208.239.27.139,216.87.31.27
66.55.7.148,68.215.120.138
208.61.28.102,216.194.237.145
127.31.9.110,124.225.14.158
123.30.6.130,122.224.134.157
12.34.27.149,15.60.147.140
207.238.27.127,207.151.239.127
124.131.8.131,127.130.244.224
62.238.5.145,63.14.133.243
205.56.26.112,205.55.29.182
125.238.8.149,126.72.14.245
123.133.7.156,122.122.135.3
63.31.6.111,62.224.249.175
127.239.28.135,124.72.156.135
13.134.25.125,14.120.99.131
201.237.236.191,201.146.11.64
121.62.5.190,121.63.123.65
62.133.237.172,63.122.45.92
17.58.29.162,17.63.99.170
127.134.25.172,124.6.156.172
125.63.5.116,126.215.5.141
66.237.236.181,68.106.11.52
70.239.27.100,66.41.27.100
65.235.9.160,70.72.241.170
126.62.25.124,125.217.98.66
64.134.237.187,71.6.20.196
121.236.29.190,121.212.20.65
209.64.25.120,217.67.97.184
16.238.29.132,16.17.108.250
201.131.27.168,201.254.224.88
64.133.7.175,71.5.7.160
129.63.7.129,129.46.248.120
122.59.237.170,123.219.245.213
128.133.5.192,128.133.123.153
208.58.237.160,216.197.237.32
123.133.6.179,122.122.134.180
15.34.6.123,12.223.134.68
205.34.26.103,205.35.97.167
201.57.29.168,201.62.237.168
122.60.237.114,123.220.53.73
66.131.235.137,68.1.207.150
68.35.29.154,64.62.235.6
13.33.5.101,14.222.133.165
207.60.236.184,207.52.236.199
11.34.27.177,10.222.19.74
125.133.27.141,126.5.104.13
126.130.29.114,125.1.109.178
65.55.7.193,70.199.120.13
60.239.9.105,60.22.240.86
127.57.235.134,124.206.16.142
70.56.236.130,66.216.19.117
120.55.237.153,120.54.51.120
202.64.26.122,202.64.149.185
10.64.235.102,11.127.47.105
202.30.6.182,202.31.6.182
206.56.25.109,206.36.156.92
64.237.26.175,71.77.26.208
62.130.5.111,63.126.133.111
15.34.26.113,12.223.149.183
11.61.5.101,10.205.5.154
120.57.25.150,120.62.231.145
10.34.8.123,11.35.245.187
128.35.235.173,128.62.51.83
122.62.5.138,123.222.122.122
69.61.5.188,65.34.132.189
61.55.28.193,61.40.226.165
205.32.235.132,205.32.215.138
209.238.236.135,217.240.242.128
16.31.25.128,16.224.235.240
127.30.28.127,124.224.236.127
12.132.25.129,15.132.108.154
67.33.29.197,69.61.106.12
205.63.29.112,205.48.226.77
124.58.25.182,127.51.108.177
